標題,Owner,狀態,開始日期,結束日期,BE 交付日期
會員中心切版,Vita,已完成,2026-03-02,2026-03-06,
會員中心串 API,Vita,已完成,2026-03-09,2026-03-13,2026-03-10
購物車結帳流程 UI,Henry,已完成,2026-03-02,2026-03-09,
購物車結帳 API 整合,Henry,已完成,2026-03-09,2026-03-16,2026-03-11
商品列表 RWD 優化,Willy,已完成,2026-03-03,2026-03-10,
搜尋結果頁切版,Leon,已完成,2026-03-05,2026-03-12,
訂單列表後台頁,Sunny,已完成,2026-03-02,2026-03-11,
訂單 API CRUD,Sunny,已完成,2026-03-09,2026-03-20,2026-03-12
權限管理介面,Paula,已完成,2026-03-04,2026-03-13,
權限 API 設計,Paula,已完成,2026-03-10,2026-03-18,2026-03-12
技術文件整理,Jenny,已完成,2026-03-16,2026-03-25,
跨瀏覽器相容性測試,Leon,已完成,2026-03-23,2026-03-27,
商品列表效能優化,Willy,已完成,2026-03-11,2026-03-17,
SEO meta 補齊,Mary,ready to prod,2026-03-16,2026-03-20,
GA4 事件埋點,Jason,ready to prod,2026-03-18,2026-03-23,
Lighthouse 效能優化,Willy,ready to prod,2026-03-20,2026-03-27,
